image	face	body	object	scene	animacy
main_object_55	448.53249412848584	330.4120429151845	244.760455082953	393.09192393669997	286.046342293461
main_object_56	487.6411572543068	457.2711042435189	215.68893926497225	221.20547916140833	342.2230771189107
main_object_57	416.7356689260657	417.8922700980363	194.24837656388843	373.4370998861443	281.56991379417445
main_object_58	468.8075195559014	358.09436078789383	189.3343948739018	379.00686212026096	353.74913461411126
main_object_59	418.6292487728043	337.3877694523379	249.03994845942776	316.8454715680317	387.77851176531897
main_object_60	518.8644688874459	426.8359378275777	231.23214071963298	355.17159298326845	327.38615566903593
main_object_61	467.48590563949216	468.5560343553842	263.7727682152812	286.3598136107279	340.9384750805008
main_object_62	375.85545146959214	416.35396996578294	250.7148193214503	356.1687812326577	383.38765495953913
main_object_63	476.7074465900348	408.78609660594503	272.942824917753	416.8194249113256	339.4977209598124
main_object_64	378.6490041562731	433.0213080711626	246.97338952149914	447.40442629467543	342.6496880205531
main_object_65	480.0457053081484	421.16381353690366	238.82548705937964	243.539356112929	354.4099481184321
main_object_66	391.9389153276485	407.21140728430794	176.91109833209254	400.55579368129764	350.40114933018816
main_object_67	414.79663853386495	426.32304525154854	228.85399798640609	364.0484666178149	320.9358694795061
main_object_68	449.2755628079358	345.30449798855125	258.4044641833456	356.3306520744117	357.7544140066125
main_object_69	472.083666377461	361.8607291782953	223.98995214640703	332.46184383824203	356.8404042869262
main_object_70	510.32384255463705	428.7870331652191	227.28698623003095	310.76824628933196	359.56082457424725
main_object_71	483.4975114056052	398.35838154876126	243.7153742227273	279.3955323713288	308.7915899317728
main_object_72	499.4544296350022	396.3316672790551	239.3109195552572	385.42361447319706	385.4511879857859
main_object_73	384.6732366179195	355.39337577807294	245.16255040779194	329.3260424921566	350.6926682157424
main_object_74	436.0644010568178	435.1894277886989	211.60011725014834	338.73676407425745	418.3030797152053
main_object_75	479.49781538930137	421.54519695362416	273.89850513651055	349.0898094901746	411.3758729563726
main_scene_76	432.79702922698584	425.13403783380784	253.561244101561	286.91982166668186	422.8285250765912
main_scene_77	480.70307371410377	247.12155422839254	293.1640525626138	242.68228938770633	120.38165599930275
main_scene_78	463.11241049935325	438.36227953601866	281.5962039215705	291.8230405482888	330.11584062245225
main_scene_79	474.9334670625166	443.2288516473273	263.19608443929815	310.0935275208854	352.3281049895544
main_scene_80	475.5106476641022	450.263746688654	343.4053525360823	350.5455151868839	310.29377500161183
main_scene_81	451.7871163886488	404.652377631552	217.75279547078043	239.82069938498705	360.23480200136987
main_scene_82	435.7781167876168	347.20126570152036	321.70143225625907	328.01093832063736	375.6824353883965
