image	ffa	eba	ppa	ofa
main_object_154	-0.784813489	-0.499291686	0.206378783	-0.260266914
main_object_155	-0.682006108	-0.77633	0.062396607	-0.359036756
main_object_156	-0.486742586	-0.388451031	0.707304244	-0.402485444
main_object_157	-0.625566838	-0.751670955	-0.331327083	-0.157156047
main_object_158	-0.996684664	-0.573852958	-0.192903002	-0.657988348
main_object_159	-0.638175714	0.108480963	0.584888957	0.036998073
main_object_160	-0.932779267	-0.616597943	0.371739187	-0.43800571
main_object_161	-0.975549258	-0.454791313	-0.205325913	-0.784464295
main_object_162	-1.005655664	-0.84042306	0.366825021	-0.698119609
main_object_163	-0.3189048	-0.27383755	0.606508605	0.016810747
main_object_164	-0.690080266	-0.72722497	1.053399908	-0.328090581
main_object_165	-0.963215906	-0.436255013	0.33885877	-0.438737777
main_object_166	-0.767920575	-0.648467799	-0.023868942	-0.665414339
main_object_167	-0.748444162	-0.90358986	-0.388036294	-0.426237046
main_object_168	-1.026984763	-0.937097334	0.423517972	-0.705800147
main_object_169	-0.338262078	-0.221360321	0.031275713	0.023808383
main_object_170	-0.729526898	-0.63157912	-0.299630509	-0.274421418
main_object_171	-0.698787337	-0.606648587	-0.001699777	-0.464714124
main_object_172	-0.746415487	-0.865896989	0.380829678	-0.30734884
main_object_173	-0.931749715	-0.220316215	1.031104733	-0.655748293
main_object_174	-0.729875717	-0.677870916	0.552484153	-0.485547917
main_object_175	-0.66116294	-0.631426433	-0.17340201	-0.161947163
main_object_176	-0.515147633	-0.435078083	0.239046669	-0.526316358
main_object_177	-0.660159843	0.54137223	0.749673764	-0.280744476
main_object_178	-0.982371229	-0.899215283	0.633558013	-0.964313409
main_object_179	-0.782287331	-0.548616376	-0.02689838	-0.641119577
main_object_180	-0.222129144	0.509656292	0.175120955	0.112730508
main_object_181	-1.039788703	-0.846304206	0.189004164	-0.52922312
main_object_182	-1.020805582	-0.735341921	0.820611967	-1.076409107
main_object_183	-0.725047499	-0.703870668	0.183685296	-0.458776455
main_object_184	-0.990523858	-0.239772588	0.566872854	-1.023574748
main_object_185	-0.783156654	-0.209267083	-0.019942697	-0.225064794
